,name,rating,brand,perfumer,gender,types,scent1,scent2,scent3,scent4,scent5
42,"迪奥 桀骜男士
Dior Homme, 2005",9.1 分 510 人评价,迪奥,Olivier Polge,男香,木质花香调,鸢尾花,可可果,薰衣草,皮革,琥珀
43,"迪奥 花漾甜心
Dior Miss Dior Cherie Blooming Bouquet, 2007",8.7 分 1538 人评价,迪奥,None,女香,花香调,牡丹,橘子,麝香,玫瑰,None
44,"迪奥 华氏温度
Dior Fahrenheit, 1988",9 分 581 人评价,迪奥,Maurice Roger,男香,木质花香调,皮革,紫罗兰叶,肉豆蔻,香根草,薰衣草
45,"祖玛珑 英国橡树与榛果
Jo Malone English Oak & Hazelnut, 2017",9.4 分 349 人评价,祖玛珑,Yann Vasnier,中性香,辛辣木质调,橡木,雪松,榛子,绿叶,番茄叶
46,"香奈儿 5号
Chanel N°5, 1921",8.7 分 1313 人评价,香奈儿,Ernest Beaux,女香,醛香花香调,醛,依兰,柠檬,鸢尾花,玫瑰
47,"祖玛珑 橙花
Jo Malone Orange Blossom, 2003",8.6 分 1527 人评价,祖玛珑,Jean-Claude Delville,中性香,花香调,橙花,克里曼丁红橘,紫丁香,香橼,绿叶
48,"大卫杜夫 冷水男士
Davidoff Cool Water, 1988",8.6 分 2082 人评价,大卫杜夫,Pierre Bourdon,男香,水生馥奇香调,海水,薰衣草,薄荷,绿叶,烟草
49,"三宅一生 一生之水男士
Issey Miyake L'Eau d'Issey Pour Homme, 1994",8.6 分 1629 人评价,三宅一生,Jacques Cavallier,男香,水生木质调,柠檬,日本柚子,莲花,香根草,香柠檬
50,"爱马仕之旅
Hermes Voyage d'Hermes, 2010",8.9 分 583 人评价,爱马仕,Jean-Claude Ellena,中性香,木质花香调,柠檬,小豆蔻,辛香料,木质香,茶叶
51,"迪奥 蛊媚奇葩（红毒）
Dior Hypnotic Poison, 1998",8.7 分 943 人评价,迪奥,Annick Menardo,女香,东方美食调,香草,杏仁,椰子,檀香木,巴西红木
52,"香奈儿 邂逅清新（绿邂逅）
Chanel Chance Eau Fraiche, 2007",8.6 分 1387 人评价,香奈儿,Jacques Polge,女香,花香甘苔调,柠檬,雪松,凤眼兰,粉红胡椒,广藿香
53,"爱马仕的一天（爱马仕之光）
Hermes Jour d'Hermes, 2013",8.8 分 696 人评价,爱马仕,Jean-Claude Ellena,女香,花香调,柠檬,葡萄柚,白色花系,栀子花,绿叶
54,"香奈儿 蔚蓝
Chanel Bleu de Chanel, 2010",8.6 分 1542 人评价,香奈儿,Jacques Polge,男香,木质馥奇香调,柠檬,葡萄柚,焚香,生姜,薄荷
55,"香奈儿 邂逅柔情（粉邂逅）
Chanel Chance Eau Tendre, 2010",8.6 分 1261 人评价,香奈儿,Jacques Polge,女香,花香果香调,木梨,葡萄柚,风信子,茉莉,麝香
